15:40:47.876 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [nl.reusenit.simpelfactureren.web.controller.LoginControllerTest]: class path resource [nl/reusenit/simpelfactureren/web/controller/LoginControllerTest-context.xml] does not exist.
15:40:47.887 [main] INFO  o.s.t.c.s.AbstractDelegatingSmartContextLoader - AnnotationConfigContextLoader detected default configuration classes for context configuration [ContextConfigurationAttributes@2565a3c2 declaringClass = 'nl.reusenit.simpelfactureren.web.controller.LoginControllerTest', locations = '{}', classes = '{class nl.reusenit.simpelfactureren.web.controller.LoginControllerTest$LoginControllerConfiguration}', inheritLocations = true, initializers = '{}', inheritInitializers = true, contextLoaderClass = 'org.springframework.test.context.ContextLoader'].
15:40:48.013 [main] INFO  o.s.c.s.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@1fa12495: startup date [Sat Apr 06 15:40:48 CEST 2013]; root of context hierarchy
15:40:48.171 [main] INFO  o.s.b.f.s.DefaultListableBeanFactory - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@1fe903d5: defining beans [org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.annotation.internalPersistenceAnnotationProcessor,loginControllerTest.LoginControllerConfiguration,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor,loginController,accountService]; root of factory hierarchy
15:40:48.377 [Thread-0] INFO  o.s.c.s.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@1fa12495: startup date [Sat Apr 06 15:40:48 CEST 2013]; root of context hierarchy
15:40:48.378 [Thread-0] INFO  o.s.b.f.s.DefaultListableBeanFactory - Destroying singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@1fe903d5: defining beans [org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.annotation.internalPersistenceAnnotationProcessor,loginControllerTest.LoginControllerConfiguration,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor,loginController,accountService]; root of factory hierarchy
15:42:51.939 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [nl.reusenit.simpelfactureren.web.controller.LoginControllerTest]: class path resource [nl/reusenit/simpelfactureren/web/controller/LoginControllerTest-context.xml] does not exist.
15:42:51.949 [main] INFO  o.s.t.c.s.AbstractDelegatingSmartContextLoader - AnnotationConfigContextLoader detected default configuration classes for context configuration [ContextConfigurationAttributes@2565a3c2 declaringClass = 'nl.reusenit.simpelfactureren.web.controller.LoginControllerTest', locations = '{}', classes = '{class nl.reusenit.simpelfactureren.web.controller.LoginControllerTest$LoginControllerConfiguration}', inheritLocations = true, initializers = '{}', inheritInitializers = true, contextLoaderClass = 'org.springframework.test.context.ContextLoader'].
15:42:52.083 [main] INFO  o.s.c.s.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@1fa12495: startup date [Sat Apr 06 15:42:52 CEST 2013]; root of context hierarchy
15:42:52.260 [main] INFO  o.s.b.f.s.DefaultListableBeanFactory - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@1fe903d5: defining beans [org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.annotation.internalPersistenceAnnotationProcessor,loginControllerTest.LoginControllerConfiguration,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor,loginController,accountService]; root of factory hierarchy
15:42:52.470 [Thread-0] INFO  o.s.c.s.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@1fa12495: startup date [Sat Apr 06 15:42:52 CEST 2013]; root of context hierarchy
